eventid,iyear,imonth,iday,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary
201101030008,2011,1,3,182,Somalia,11,Sub-Saharan Africa,Mudug,Galkayo,6.772224,47.429309,1,0,,"01/03/2011: On Monday, in Galkayo, Mudug, Somalia, two civilians were injured when unidentified militants detonated a remote-controlled improvised explosive device that was targeting the governor of Mudug, Ahmed Ali Salad. The governor was not injured in the attack. No material damage was reported and no group has claimed responsibility for the attack."
201101030009,2011,1,3,153,Pakistan,6,South Asia,Federally Administered Tribal Areas,Orakzai district,33.697271,71.144852,3,0,"In Qureshan Chowk in Mamozai area of Orakzai, Federally Administered Tribal Areas, Pakistan.","01/03/2011: On Monday, in Qureshan Chowk in Mamozai area of Orakzai, Federally Administered Tribal Areas, Pakistan, a suspected Tehrik-e-Taliban-Pakistan militant chopped off the right hand of a tribesman, Abdul Khaliq, after a Sharia court found him guilty of committing a theft. A butcher knife was used in the attack. No group claimed responsibility."
201101030010,2011,1,3,153,Pakistan,6,South Asia,Sindh,Karachi,24.916667,67.033333,1,0,"In Nazimabad area of Karachi, Sindh, Pakistan.","01/03/2011: On Monday, in Nazimabad area of Karachi, Sindh, Pakistan, unidentified assailants shot and killed Joint Sector in charge of Nazimabad of Muttahida Qaumi Movement (MQM) leader, Adil Jaffri. No group claimed responsibility."
201101040001,2011,1,4,153,Pakistan,6,South Asia,Balochistan,Turbat,26.004167,63.060556,1,0,"On a road in the Turbat district of Balochistan, Pakistan.","01/04/2011: On Tuesday, in the Turbat district of Balochistan, Pakistan, unidentified militants detonated a remote controlled improvised explosive device targeting a school bus, injuring at least five children and damaging the vehicle. The bus was taking more than 30 children of Frontier Corps personnel to a nearby school when it was attacked. No group claimed responsibility for the attack."
201101040002,2011,1,4,153,Pakistan,6,South Asia,Federally Administered Tribal Areas,Kurram district,33.695975,70.336069,3,0,"In Durrani village, Kurram, Federally Administered Tribal Areas, Pakistan.","01/04/2011: On Tuesday, in Durrani village, Kurram, Federally Administered Tribal Areas, Pakistan, unidentified militants attacked a convoy of trucks carrying fuel, food and other goods with rockets. The convoy was taking the supplies to the tribes people of Upper Kurram Valley. One Frontier Corps soldier was wounded in subsequent gunfire in which the militants used AK-47 rifles. The militants torched an oil tanker and then set fire to the remaining vehicles. No group claimed responsibility."
201101040003,2011,1,4,153,Pakistan,6,South Asia,Islamabad Capital Territory,Islamabad,33.708988,73.053857,1,0,"Near Kohsar market in Islamabad city, Islamabad Capital Territory, Pakistan.","01/04/2011: On Tuesday afternoon, near Kohsar market in Islamabad city, Islamabad Capital Territory, Pakistan, the governor of Punjab province, Salman Taseer, was shot by police commando, Hussain Qadri, one of his own bodyguards while exiting his vehicle. Other security members immediately fired on and injured the bodyguard before arresting him. The governor was rushed to the hospital but died from his wounds. The Tehrik-e-Taliban Pakistan spokesman Shakirullah Shakir claimed responsibility for the attack by telephone, claiming the governor was supporting Aasia Bibi and passing remarks against Islam. He also warned all those giving remarks against Islam would be killed. However, there were doubts about the veracity of this claim, as the gunman claimed he acted alone without ties to any militant group."
201101040004,2011,1,4,153,Pakistan,6,South Asia,Sindh,Karachi,24.893379,67.028061,1,0,"In the Landhi area of Karachi, Sindh, Pakistan.","01/04/2011: On Tuesday morning, in the in the 36-G area of Landhi, Karachi, Sindh, Pakistan, unidentified assailants shot and killed a Mohajir Qaumi Movement- Haqiqi (MQM-H) militant, identified as Sajjad Mian. Sajjad had been kidnapped on his way to work then subsequently tortured and shot. No damage was reported and no group claimed responsibility for the attack."
201101040005,2011,1,4,97,Israel,10,Middle East & North Africa,Southern,Ashkelon,31.669316,34.570802,1,0,"In Ashkelon, Southern District, Israel.","01/04/2011: On Tuesday, in Ashkelon, Southern District, Israel, unidentified militants fired a rocket from the Gaza Strip area, which landed and damaged several greenhouses. No casualties were reported and no group claimed responsibility."
201101040006,2011,1,4,160,Philippines,5,Southeast Asia,Metropolitan Manila,Quezon City,14.695712,121.048972,1,0,"The incident occurred in Quezon City, Manila, Philippines.","01/04/2011: On Tuesday afternoon around 1500, in Merry Homes along San Francisco Road in Barangay Sauyo area of Novaliches, Quezon City, Manila, Philippines, two unidentified militants on a motorcycle opened fire and killed a vice mayor, identified as Arturo Maristela. No group claimed responsibility, but it was suspected that New People's Army (NPA) militants were responsible."
201101040007,2011,1,4,182,Somalia,11,Sub-Saharan Africa,Bay,Baidoa,3.120033,43.650184,1,0,,"01/04/2011: On Tuesday, in Baidoa, Bay, Somalia, unidentified militants cut a hand and foot off of a young boy who had been accused of robbery. No group claimed responsibility, but the militant group Al Shabaab was thought to be responsible for the attack."
201101040008,2011,1,4,182,Somalia,11,Sub-Saharan Africa,Galguduud,El Bur,4.683684,46.619368,1,1,"The incident occurred at a house in the village of El Meygaag near the district of Ceelbuur in Galgudud, Somalia.","01/04/2011: On Tuesday night, in the village of El Meygaag near Ceelbuur, Galgudud, Somalia, unidentified militants kidnapped Mohammed Ahmed Dhuhulow, the health official at Mother and Children Health Center, from his home. Mohammed Ahmed Dhuhulow was safely released on 01/11/2011 in the district of El Bur in Galgududd. No casualties were reported and no group claimed responsibility, but the militant group Al Shabaab was thought to be responsible for the attack."
201101040009,2011,1,4,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.364161,44.38269,1,0,"The attack took place in the Waziriya neighborhood of central Baghdad, Iraq.","01/04/2011: On Tuesday, in the Waziriya neighborhood of central Baghdad city, Baghdad province, Iraq, a group of unknown armed men have opened fire from guns fitted with silencers on a Housing Ministry employee upon his departure from his house. The employee was killed on the spot. No damages were reported and no group has claimed responsibility for the attack."
201101040010,2011,1,4,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.3,44.4,1,0,"The attack took place in the Baladiat area of Nissan neighborhood, Baghdad, Iraq.","01/04/2011: On Tuesday evening, in the Baladiat area of Nissan neighborhood, in Baghdad city, Baghdad province, Iraq, a police captain was shot and wounded during an attack by unidentified militants. The gunmen fled to an unknown area, while the officer was carried to a nearby hospital for treatment. No damage was reported and no group has claimed responsibility for the attack."
201101040011,2011,1,4,95,Iraq,10,Middle East & North Africa,Saladin,Balad,34.016389,44.145278,1,0,"The attack took place at a farm in Balad, Salah ad Din, Iraq.","01/04/2011: On Tuesday, in Balad, Salah ad Din, Iraq, two civilians were killed when an improvised explosive device (IED) detonated. The IED was planted by unidentified militants on their farm. It is unknown if the blasts resulted in any property damage. No group has claimed responsibility."
201101040012,2011,1,4,95,Iraq,10,Middle East & North Africa,Saladin,Tarmiyah,33.664354,44.373779,1,0,"The attack took place at the Awakening Council leader's residence in Tarmiyah, Salah ad Din, Iraq.","01/04/2011: On Tuesday, in Tarmiyah, Salah ad Din, Iraq, an improvised explosive device targeted the residence of a local Awakening Council leader. Four civilians, relatives of the targeted leader, were wounded in the attack. The local Awakening Council leader, however, escaped the attack unharmed. The blast caused an unknown amount of property damage to the Sahwa leader's residence. No group has claimed responsibility for the attack."
201101040013,2011,1,4,167,Russia,9,Eastern Europe,Kabardino Balkariya,Nalchik,43.484122,43.627361,1,0,"The attack occurred at a nightclub in Nalchik, Kabardino Balkariya, Russia.","01/04/2011: On Tuesday evening at 1930, on Tarchokova Street in the Gornaya area of Nalchik, Kabardino Balkariya, Russia, two unidentified assailants entered the Sakhara nightclub and detonated an improvised explosive device inside. No casualties were reported, but the explosion did break glass and the entrance door. No group claimed responsibility."
201101040014,2011,1,4,167,Russia,9,Eastern Europe,North Ossetia,Vladikavkaz,43.047456,44.665806,1,0,"The attack took place in the Vladikavkaz district of North Ossetia, Russia.","01/04/2011: On Tuesday morning, in the Vladikavkaz district of North Ossetia, Russia, unidentified militants detonated an improvised explosive device attached to the left bumper of the car of Russian Deputy Chief of Staff Andrey Orlov. Orlov was seriously injured and his car was damaged. No group claimed responsibility for the attack."
201101040015,2011,1,4,4,Afghanistan,6,South Asia,Helmand,Sangin,32.073333,64.833889,1,0,"The hostage taking took place in the Sarwan Qala area of Sangin district, in Helmand, Afghanistan.","01/04/2011: On Tuesday, in the Sarwan Qala area of Sangin district, in Helmand, Afghanistan, Taliban militants kidnapped Sayed Badar Agha, a village elder, and kept him confined to his village and also beat him. Security officials reported that Sayed had been negotiating a ceasefire with the government on behalf of his village. NATO said in a statement that a peace deal had been brokered with a group of 40 elders in Sangin. A spokesman for the alliance, Major General Richard Mills, said seven Taliban commanders had put their names to the agreement. The ceasefire envisages that the Taliban would stop attacks and keep foreign fighters away, and local forces would patrol the area. In a goodwill gesture to secure the agreement, a local Taliban commander was freed by the Afghan government. The Taliban then seized the elder who led the negotiations. The status of the hostage is unknown."
201101040016,2011,1,4,4,Afghanistan,6,South Asia,Kabul,Kabul,34.533056,69.166111,1,0,"The attack took place a busy market in the Kabul district of Kabul province, Afghanistan.","01/04/2011: On Tuesday morning at 0756, in a busy market in the Kabul district of Kabul province, Afghanistan, an improvised explosive device in a bag, placed by unknown militants, detonated, killing one police officer, injuring two civilians, and damaging several nearby shops. The device had been hidden in a rice sack and placed against the side of a building. A civilian spotted the suspicious bag and reported it to a traffic post were two officers were posted. The officers were last seen heading towards the device when it detonated. The device was made from an artillery shell that had been converted to a bomb. It is unclear if the device was remotely detonated or on a timer. No group claimed responsibility for the attack."
201101040017,2011,1,4,92,India,6,South Asia,Jharkhand,Latehar,,,,1,"The attack took place on Ranchi-Daltonganj National Highway in Hotwag village in Latehar, Jharkhand, India.","01/04/2011: On Tuesday, on Ranchi-Daltonganj National Highway in Hotwag village in Latehar, Jharkhand, India, unidentified militants planted a 50 kilogram improvised explosive device (IED) under a road. Police defused the IED, causing no casualties or damages. No group claimed responsibility, but it was suspected that Communist Party of India-Maoist (CPI-M) militants were responsible."
201101040018,2011,1,4,92,India,6,South Asia,Odisha (formerly Orissa),Kandhamal,,,,1,The attack took place in the Bhramarbari village of Daringbadi block in Kandhamal.,"01/04/2011: On Tuesday morning around 1000, in the Bhramarbari village of Daringbadi block in Kandhamal, Odisha, India, six unidentified armed militants shot and killed a trader accused of being a police informer. The victim was identified as Udaynath Sahu. No group claimed responsibility, but it was suspected that Communist Party of India-Maoist (CPI-M) militants were responsible. Reportedly, the Maoists had warned him twice of dire consequences and Udaynath informed the police about the matter."
201101040019,2011,1,4,92,India,6,South Asia,Odisha (formerly Orissa),Jajpur,,,,0,The attack took place on a bridge in Jajpur.,"01/04/2011: On Tuesday, in Jajpur, Odisha, India, unidentified militants planted a landmine that had been improvised packed with 100 kilograms of explosives under a small bridge. Police defused the bomb, causing no casualties or damages. No group claimed responsibility, but it was suspected that Communist Party of India-Maoist (CPI-M) militants were responsible."
201101040023,2011,1,4,45,Colombia,3,South America,Huila,Neiva,2.998638,-75.30562,1,0,"At the residence of a police officer at the corner of 50th and 19th Streets in the Alamos Norte neighborhood in Neiva, Huila, Colombia.","01/04/2011: On Tuesday evening shortly after 2140, at the corner of 50th and 19th Streets in the Alamos Norte neighborhood in Neiva, Huila, Colombia, suspected Revolutionary Armed Forces of Colombia militants threw a grenade at a police officer's residence while they were riding a motorcycle. The police officer was not injured but his seven year old son was wounded from the attack which damaged the house and six nearby buildings. No group claimed responsibility."
201101050001,2011,1,5,95,Iraq,10,Middle East & North Africa,Saladin,Taji,33.530734,44.274292,3,0,"The attack took place in Taji, Salah ad Din, Iraq.","01/05/2011: On Wednesday, in Taji, Salah ad Din, Iraq, a roadside improvised explosive device detonated against a bus carrying Iranian visitors. Four of the passengers were wounded and taken to a nearby hospital for treatment, and the bus was damaged. No group has claimed responsibility for the attack."
201101050002,2011,1,5,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.286649,44.354396,1,0,"The attack took place near a train station in al-Qadissiya neighborhood in western Baghdad, Iraq.","01/05/2011: On Wednesday, in al-Qadissiya neighborhood in western Baghdad city, Baghdad province, Iraq, a sticky bomb was detonated near a train station. A civilian was killed and one more was wounded in the attack. It is unknown if the blasts resulted in any property damage. No group has claimed responsibility for the attack."
201101050003,2011,1,5,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.286649,44.354396,1,0,"The attack took place in al-Qadissiya neighborhood, Baghdad, Iraq.","01/05/2011: On Wednesday, in al-Aamel neighborhood in western Baghdad city, Baghdad province, Iraq, an improvised explosive device, stuck to a civilian car, exploded. Two civilians were wounded in the blast. The amount of damage from the attack is unknown and no group has claimed responsibility for the attack."
201101050005,2011,1,5,151,Norway,8,Western Europe,Akershus,Ullensaker,60.134914,11.163789,1,0,The plane departed from Oslo Airport.,"01/05/2011: On Wednesday, in Oslo city, Oslo, Norway, a Turkish national stormed the cockpit of a Turkish Airlines plane less than one hour before its arrival in Istanbul, Turkey, and demanded that the aircraft return to Oslo, Norway, while waving what he claimed to be an explosive device. However, passengers overpowered the hijacker and the aircraft landed safely in Istanbul. The man was taken into custody by security forces. The explosive device claim was discovered to be false. No casualties or damages were reported and no group has claimed responsibility for the attempted hijacking."
201101050006,2011,1,5,123,Mali,11,Sub-Saharan Africa,Bamko,Bamako,,,,0,"The attack occurred at the French embassy in Bamako city, Bamako state, Mali.","01/05/2011: On Wednesday evening, in Bamako city, Bamako state, Mali, two Malian civilians were injured when a Tunisian man armed with an automatic pistol threw a Molotov cocktail at the French embassy. No damage was reported and no group claimed responsibility, but it was believed that the militant was a member of Al Qaeda in the Lands of Islamic Maghreb."
201101050007,2011,1,5,160,Philippines,5,Southeast Asia,Davao Del Sur,Toril,6.96212,125.475492,1,1,"The attack took place in Sibulan village in Toril, Davao del Sur, Philippines.","01/05/2011: On Wednesday morning around 0800, in Sibulan village in Toril, Davao, Philippines, unidentified militants shot and killed a former New People’s Army (NPA) militant, identified as Romnick Noble. No group claimed responsibility, but it was believed that New People’s Army militants were responsible."
201101060001,2011,1,6,153,Pakistan,6,South Asia,Balochistan,Quetta,30.182125,67.000517,1,0,,"01/06/2011: On Thursday, in the Sariab area of Quetta, Balochistan, Pakistan, unidentified militants destroyed a five-foot section of an 18-inch gas pipeline with dynamite. No casualties were reported and no group claimed responsibility for the attack."
201101060002,2011,1,6,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Mardan district,34.266864,72.025573,3,0,"On a road in the Mardan district of Khyber Pakhtunkhwa, Pakistan.","01/06/2011: On Thursday, in the Mardan district of Khyber Pakhtunkhwa, Pakistan, unidentified gunmen on a motorcycles fired on the vehicle of Jehar Khan Hoti, the Mardan district Awami National Party (ANP) Information Secretary. The ANP official died on the way to the hospital. No damages were reported and no group claimed responsibility for the attack."
201101060003,2011,1,6,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Peshawar,34.009667,71.579994,1,0,"In the Peshawar district of Khyber Pakhtunkhwa, Pakistan.","01/06/2011: On Thursday morning, in the Garhi Hasan area of Peshawar city, Khyber Pakhtunkhwa, Pakistan, unidentified militants blew up a house located in the Government officials' colony with unknown explosives, and injured one child. Several nearby houses were also damaged and no group claimed responsibility for the attack."
201101060004,2011,1,6,153,Pakistan,6,South Asia,Federally Administered Tribal Areas,Landi Kotal,34.1167788,71.1665154,1,1,"The hostage taking took place near Landi Kotal Bazaar, Federally Administered Tribal Areas, Pakistan.","01/06/2011: On Thursday, on Bypass Road near Landi Kotal, Federally Administered Tribal Areas, Pakistan, unidentified assailants kidnapped seven drivers of North Atlantic Treaty Organization (NATO) supply trucks and took them to an unknown location. One hostage was killed on 01/17/2011 and three others on 01/19/2011, having been shot to death. The deceased victims were identified as Ishtiaq, Saleem, Mushtaq and Abdul Wali. Three letters, written in Pashto and Urdu, were also found with the bodies. The letters threatened transporters to “stop supplying oil and other goods to NATO forces in Afghanistan. Anyone dares to do so would meet the same fate.” The status of the three remaining hostages is unknown and no group has claimed responsibility."
201101060005,2011,1,6,141,Nepal,6,South Asia,Narayani,Parsa,,,,0,"The attack took place in the Birgunj area of Parsa, Narayani, Nepal.","01/06/2011: On Thursday, in the Birgunj area of Parsa, Narayani, Nepal, unidentified militants assaulted a team of Rastriya Jana Morcha (RJM) activists, led by senior leader Rashmiraj Nepali, who were conducting a campaign for peace, nationalism and republicanism. RJM Chairman Chitra Bahadur claimed that the cadres of the Madheshi Janadhikar Forum (MJF) seized flags, banners and microphones at a mass meeting. He said they also destroyed paraphernalia including tables, chairs and microphones. No casualties were reported and no group claimed responsibility, but it was suspected that cadres of the MJF were responsible."
201101060006,2011,1,6,160,Philippines,5,Southeast Asia,Basilan,Isabela,6.681959,121.985477,1,0,,"01/06/2011: On Thursday evening around 1900, in Isabela, Basilan, Philippines, an unidentified militant shot and injured a town councilor, identified as Mas Talib Alejo. No group claimed responsibility, but it was suspected that Abu Sayyaf militants were responsible."
201101060007,2011,1,6,182,Somalia,11,Sub-Saharan Africa,Lower Juba,Goob Weyn,-0.249459,42.602295,1,0,"The incident occurred in the village of Goobweyne, 24 km west of Kismayo.","01/06/2011: On Thursday, in the village of Goobweyne, 24 kilometers west of Kismayo, Jubbada Hoose, Somalia, unidentified militants shot and killed Nur Mohammed, who had been accused of spying for the Ethiopian government. No group claimed responsibility, but the militant group Al Shabaab was thought to be responsible for the attack."
201101060009,2011,1,6,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.268315,44.34494,1,0,"The attack took place in Bayaa neighborhood, Baghdad, Baghdad, Iraq.","01/06/2011: On Thursday night, in Baya neighborhood, Baghdad city, Baghdad province, Iraq, unidentified gunmen killed an employee who works at the Health Ministry with guns equipped with silencers. No damage was reported and no group has claimed responsibility for the attack."
201101060010,2011,1,6,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.3,44.4,1,0,"The attack took place in Hawija, northern Baghdad, Baghdad, Iraq.","01/06/2011: On Thursday, in Hawija, northern Baghdad city, Baghdad province, Iraq, a sticky improvised explosive device attached to a car wounded an off-duty policeman and caused an unknown amount of property damage. No group has claimed responsibility for the attack."
201101060011,2011,1,6,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.34,43.13,1,0,"The attack take place at a Christian church in the al-Dawwasa area in central Mosul, Ninawa, Iraq.","01/06/2011: On Thursday, in the al-Dawwasa area in central Mosul, Ninawa, Iraq, the second division of the army, in coordination with the national intelligence service, seized six improvised explosive devices and two explosive belts preventing an attack on a Christian church. The explosives were defused, causing no casualties or damages. No group has claimed responsibility for the attempted bombing."
201101060014,2011,1,6,92,India,6,South Asia,West Bengal,Salbani,,,,1,"The attack took place at a residence in Nadaria village near Salboni in West Bengal, India.","01/06/2011: On Thursday night, in Nadaria village near Salboni in West Bengal, India, a group of 15-20 unidentified armed militants triggered a landmine blast inside the house of Nemai Sen, a local Communist Party of India-Marxist (CPM) leader, after beating up his father. A large portion of the house was damaged in the blast and no group claimed responsibility, but it was suspected that Communist Party of India-Maoist (CPI-M) militants were responsible."
201101060015,2011,1,6,45,Colombia,3,South America,Huila,Neiva,2.998638,-75.30562,1,0,"The attack took place outside the office of rancher Carlos Cabrera in Neiva, Huila, Colombia.","01/06/2011: On Thursday morning, outside the office of rancher Carlos Cabrera in the city of Neiva, Huila, Colombia, guerrillas from the Revolutionary Armed Forces of Colombia (FARC), detonated a large improvised explosive device of about 20 kilograms. No casualties were reported, but the office and at least 50 nearby residences were damaged in the blast. No group has claimed responsibility for the attack."
201101060016,2011,1,6,92,India,6,South Asia,Jharkhand,Khunti,,,,0,"The attack took place at the Arki market in Khunti, Jharkhand, India.","01/06/2011: On Thursday, in Arki market in Khunti, Jharkhand, India, militants abducted and beat Karam Singh Munda, a sarpanch (president/chief of the village level local self Government institution). The militants later shot and killed Munda. The Communist Party of India-Maoist militants claimed responsibility for the attack by leaving a pamphlet at the incident site accusing him of being a police informer."
